organization_name,external_id,schema_type,description,aliases,published_date,updated_date,data_source_url
Boko Haram,18,Terrorist Organization,"Boko Haram is a Salafist jihadist group operating in northern Nigeria whose ultimate objective is to overthrow the Nigerian government and implement Sharia Law. The group desires a political system in Nigeria modeled after how the Taliban now rules Afghanistan. Its tactics include small arms attacks, the use of improvised explosive devices, suicide bombings, and kidnappings. Boko Haram conducted a suicide bomb attack against the United Nations compound in Abuja, Nigeria in August 2011, killing 23 people. In April 2014, Boko Haram kidnapped a Canadian nun and two Italian priests in Cameroon. A few days later, in Nigeria, the group kidnapped 276 schoolgirls. In 2015, Boko Haram leader Abubakar Shekau pledged allegiance to the Islamic State and Boko Haram renamed itself the ""Islamic States West Africa Province"". However, the Islamic State appointed Abu Musab al-Barnawi as leader of Islamic States West Africa Province, resulting in the formation of two rival factions; one loyal to Shekau operating under the Boko Haram banner, and the other (Islamic States West Africa Province) led by Barnawi. During the first nine months of 2016, Boko Haram was responsible for nearly 400 deaths in Nigeria, and approximately 850 deaths in 2017. In many of its attacks Boko Haram used children, particularly young girls, as suicide bombers. Boko Haram also repeatedly targets farmers, loggers, and herders, accusing them of passing information about the group to soldiers and the militia fighting them. In November 2020, armed assailants on motorcycles took 50 farmers from a village in northeastern Nigeria, into a building where they slit their throats. Later, additional bodies were found nearby, bringing the total number of deceased to 76. In addition, the militants abducted about a dozen women from the village. The Shekau faction of Boko Haram claimed responsibility for the incident. In the most recent attack on August 12, 2023, Boko Haram militants rounded up 10 farmers and shot them dead while they were working in their field in the village of Maiwa, Borno.",Jama'atu Ahlis Sunna Lidda'awati Wal-Jihad (JAS; People of the Tradition of the Prophet for Preaching; Striving / Group Committed to Propagating the Prophet's Teachings; Jihad),2013-12-24,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Cártel de Jalisco Nueva Generación,2025-02-20-1,Terrorist Organization,"Cártel Jalisco Nueva Generación (CJNG) is a transnational criminal organization notorious for its extreme and brazen use of violence as a tool to intimidate and assert its authority. CJNG maintains its stronghold in the western states of Mexico including Jalisco, but its operations extend throughout the country. CJNG is known for their innovative use of rigging drones to drop explosives, a violent tactic adopted from insurgent groups. CJNG’s use of armed drones and other tactics, such as public executions and kidnappings, against communities go beyond intimidation, as they seek to instill terror and depopulate communities to facilitate their takeover of territories and routes. CJNG has links to known terrorist entities, including the National Liberation Army (ELN) and the Revolutionary Armed Forces of Colombia (FARC). The primary activities conducted by CJNG include drug dealing, prostitution, extortion, kidnapping, and assassination. In January 2025, the Toronto Police Service seized 835kg of cocaine linked to CJNG, marking the largest drug haul in Toronto’s history.",Jalisco Cartel New Generation; CJNG,2025-02-20,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Cártel de Sinaloa,2025-02-20-2,Terrorist Organization,"Factions include: Cártel de Sinaloa-Mayo Zambada (also known as Sinaloa Cartel-Mayo Zambada; CDS-MZ; La Mayiza; Los del Mayo; Los Mayitos), and Cártel de Sinaloa-Menores (also known as CDS-Menores, Sinaloa Cartel-Minors, Los Chapitos, Los Chapiza). Cártel de Sinaloa is one of the oldest criminal organizations in Mexico, and one of the most violent and prolific drug trafficking organizations in the world. Based in the Mexican state of Sinaloa, Cártel de Sinaloa operates in at least 47 countries around the world, including Canada. The cartel uses coercion, bribery, intimidation, and violence to expand its territory and establish political control in its areas of operation. Cártel de Sinaloa has links to multiple known terrorist entities, including the National Liberation Army (ELN), the Revolutionary Armed Forces of Colombia (FARC), and Iran-backed Hezbollah. In March 2024, Cártel de Sinaloa, through one of its factions, took 66 people including 18 children, hostage in Mexico’s Culiacán municipality as retribution. As of 2021, Cártel de Sinaloa has used drones for deadly aerial attacks in Northern Mexico and surrounding areas.",CDS; Sinaloa Cartel; La Federación (The Federation); Sinaloa Organized Crime Group; Organización del Pacífico (The Pacific Cartel); Organización Guzman-Loera (The Guzman-Loera Organization),2025-02-20,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Cártel del Golfo,2025-02-20-3,Terrorist Organization,"Factions include: Los Escorpiones (the Scorpions), Los Ciclones (the Cyclones), Los Rojos, Los Metros, and Las Panteras (the Panthers). Cártel del Golfo (CDG) is one of the largest organized crime groups operating in the north of Mexico and is comprised of different factions whose primary aim is securing their drug and weapons trafficking business between Mexico and the U.S. They frequently engage in activities against rival organized crime groups and Mexican security forces. Alliances and infighting between the factions are common with each vying for control over several criminal economies, primarily in the state of Tamaulipas along the U.S.-Mexico border. The primary activities conducted by the CDG are drug trafficking, illicit firearms trafficking, human trafficking, facilitation of illegal immigration, extortion, contract killing, and operational protection and security. In March 2023, four American citizens were kidnapped by members of the CDG faction group, los Escorpiones, as they were driving to a medical procedure in Matamoros, Mexico from Texas. Two individuals were killed.",Gulf Cartel; CDG,2025-02-20,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Cárteles Unidos,2025-02-20-4,Terrorist Organization,"Factions include: Cartel del Abuelo (also known as Cartel Tepalcatepec), Los Viagras, Los Caballeros Templarios (Knights Templar), La Nueva Familia Michoacana (also known as The New Michoacán Family; LNFM), La Familia Michoacana (also known as The Michoacán Family; La Familia), Los Blanco De Troya (White Trojans). Cárteles Unidos (CU) is an alliance between a number of Mexican criminal groups to combat Jalisco New Generation Cártel (CJNG)’s entrance into the Michoacán state. The current incarnation of the CU consists of Cartel del Abuelo (a.k.a. Cartel Tepalcatepec), Los Viagras, Los Caballeros Templarios and Los Blanco de Troya. The strategic goals of the entity include protecting its influence over the Michoacán state, as well as keeping control of drug trafficking routes and its share in local illicit economies including drug production and the extortion of ranchers, and avocado and lime producers. The CU furthers its goals by destabilizing their region of operation. It does so through the use of violence, inflicting terror onto the local population, in order to gain and maintain control. Since the start of their conflict with CJNG in 2019, the entity has used various displays of military might, violence, hostage taking, extortion, seizing land, destruction of public infrastructure, and attacks against local law enforcement to destabilize the area, intimidate the public, and assert their dominance to facilitate their activities. In September 2020, CU operatives drove military tanks through the town of Bonifacio Moreno in Aguililla and recorded themselves heavily armed, showing off how they rode in a war tank through the streets, warning CJNG that this territory belonged to them. In 2021, there were reports that the entity used drones to drop gunpower bombs over the region, wounding two members of the Michoacán state police force. In December 2024, two soldiers were killed and five others were injured from a landmine explosion, after CU used dismembered bodies to lure the soldiers to where the landmine was set.",The United Cartels; CU,2025-02-20,Not yet reviewed,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Caucasus Emirate,19,Terrorist Organization,"The Caucasus Emirate is a Sunni Salafist Islamist extremist network which formed in October 2007. Its goal is to overthrow the secular governments in the North Caucasus republics and establish an Islamic emirate governed under the Salafist interpretation of Sharia Law. The Caucasus Emirate has carried out terrorist activities in Russia and the North Caucasus republics that range from ambushes with small arms, targeted assassinations using snipers, improvised explosive devices, and suicide bombings. Since November 2014, many of the network's leaders have switched their allegiance to the Islamic State. On February 22, 2017, a Caucasus Emirate spokesman called for militants in Chechnya to target Russian infrastructure and military facilities. In April 2020, Russian authorities arrested three suspected members of Caucasus Emirate who had plotted an attack at a retail shopping facility in the Khanty-Mansiysk City of Lyantor in Siberia. According to a Russian news agency, the suspects were in possession of an improvised explosive device, weapons and ammunition. The Caucasus Emirate’s operational presence in North Caucasus has been in steady decline since the mid-2010s. This decline has been attributed to the Russian security services’ counterterrorism efforts, which included many senior Caucasus Emirate leaders being captured and killed.",Imarat Kavkaz; Islamic Emirate of the Caucasus,2013-12-24,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Combat 18 (C18),60,Terrorist Organization,"Blood & Honour (B&H) is an international neo-Nazi network whose ideology is derived from the National Socialist doctrine of Nazi Germany. Through their armed branch, Combat 18 (C18), the group has carried out violent actions, including murders and bombings. B&H was founded in the United Kingdom in 1987 and grew during the 1990s, establishing branches throughout Europe by the end of the decade. B&H and C18 attacks have occurred in North America and in several EU-member states. In January 2012, four B&H members in Tampa, Florida, were convicted of the 1998 murder of two homeless men who were killed because the group considered them “inferior.” In February 2012, members of B&H and C18 firebombed a building occupied mostly by Romani families, including children, in Aš, Czech Republic. C18 serves as B&H’s armed and radical branch, advocating white supremacy, antisemitism and islamophobia, and the movement is present internationally. In 2020, the German government banned C18 in Germany because of its goals and activities.",,2019-06-21,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Ejército de Liberación Nacional (ELN),20,Terrorist Organization,"Founded in 1964, the ELN's principal aim is to ""seize power for the people"" and establish a revolutionary government. The group believes foreign involvement in Colombia's oil industry violates the country's sovereignty and foreign companies are unfairly exploiting Colombia's natural resources. ELN activities include kidnapping, hijacking, bombing, extortion, and guerrilla warfare. In its attacks, the ELN primarily targets the Colombian oil industry, political events, and political figures. Improvised explosive device attacks against energy targets are common, as illustrated by the group’s frequent attacks on a pipeline owned by the state oil company. The ELN has occasionally also utilized vehicle-borne improvised explosive device attacks. On March 29, 2023, the ELN attacked a military unit securing a northern pipeline with long-range weapons and improvised explosive devices, killing nine personnel and wounding at least eight others. Between February 23 and 26, 2022, the ELN held an armed strike across Colombia to protest the government's economic and social policies. The ELN blew up a bridge, set fire to vehicles, blocked roads and set off bombs that injured eight people during the first day. The ELN has also expanded into Venezuela, and has been described as a binational guerrilla group. After the disarmament of FARC militants in 2017, ELN militants have filled their territorial vacuum.",National Liberation Army; the Army of National Liberation,2003-04-02,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Euskadi Ta Askatasuna (ETA),21,Terrorist Organization,"The Euskadi Ta Askatasuna (ETA) was formed in 1959 and is headquartered in the Basque provinces of Spain and France. It has been responsible for attacks on Spanish and French interests domestically and abroad. ETA aims to create an independent Basque state that would contain the six Basque provinces of Spain and France, as well as the Navarra province of Spain. ETA activities include bombings, assassinations and kidnappings. In July 2009, ETA claimed responsibility for the bombing of a police barracks in Spain which wounded at least 40 people, including 6 children. In May 2018, ETA officially dissolved. However, European authorities have continued to pursue criminal charges against former members of ETA. ETA is said to have killed over 800 people and carried out some 1,600 terrorist attacks since its formation.",Basque Homeland; Liberty; Euzkadi Ta Azkatasuna; Euzkadi Ta Askatasuna; Basque Nation; Liberty; Basque Fatherland; Liberty; Basque Homeland; Freedom.,2003-04-02,2021-06-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Fatemiyoun Division,58,Terrorist Organization,"The Fatemiyoun Division (FD) is a Hazara Shiite militia fighting in Syria comprised mainly of Afghan refugees recruited from Iran and Afghanistan. The group is directed by Iran's Islamic Revolutionary Guard Corps' Qods Force, which, along with Hizballah, provides support and training to FD in order to advance Iran's regional agenda by participating in regional conflicts. Originally deployed to protect Shiite shrines in Syria, in November 2017, the group vowed to continue to fight alongside Iran's axis of resistance. The FD has also been active in parts of Afghanistan where it has fought mostly against anti-Shiite Muslim or anti-Iranian groups. In December 2024, the entity participated in the defense of the Assad regime against rebel groups throughout Syria. In January 2025, Iranian officials confirmed FD would not be disbanded and would continue to plan strategies to fight against Israel.",Fatemioun Brigade; Fatemioun Military Division; Fatemiyoun; Fatemiyoun Battalion; Fatemiyoun Force; Fatemiyyun; Liwa Fatemiyoun; Liwa al-Fatemiyon; Fatemiyon Brigade; Fatemiyon Division; Fatemiyoun Brigade,2019-06-21,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Front de Libération du Macina,580,Terrorist Organization,"Emerging in January 2015, Front de Libération du Macina (FLM) is a Mali-based Islamist extremist group. A constituent of Jama'at Nusrat Al-Islam Wal-Muslimin (JNIM), FLM has targeted Malian and international security forces, civilians (including Westerners, teachers, imams, and local officials), and those it perceives as not adhering to its interpretation of Islam. The group's main objective has been to liberate the Fulani, mainly Muslim people scattered across 21 different African countries, from Malian government ""oppression."" On November 20, 2015, militants from various groups including FLM carried out a gun attack at the Radisson Blu hotel in Bamako, killing over 20 people. More than 170 people were taken hostage during the siege, including three Canadians. Between June 18 and 19, 2022, FLM militants attacked three villages in central Mali—Diallassagou, Dianweli, and Deguessagou—killing at least 132 civilians and setting fire to many buildings. JNIM claimed responsibility for the attack, and the Malian government specifically accuses FLM. On February 12, 2025, militants killed 16 people and wounded several in the Ségou area of Mali for their refusal to follow Islamic law as dictated by FLM, and local sources attribute the attack to the FLM.",FLM; Macina Liberation Front; MLF; Massina Liberation Front; Katiba Massina; Massina Brigade; Macina Brigade; Katiba Macina; Katibat Macina; Ansar Dine Macina; Harakat Ansar al-Din Macina Brigade; Ansar al-Din South; Macina Batallion; Macina Liberation Movement; MLM; La Force de Libération du Macina; ML Movement; Massina Liberation Movement; Ansar al-Din Macina Brigade; Katibat Macina – Ansar Dine; Ansar al-Din Macina,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Fuerzas Armadas Revolucionarias de Colombia (FARC),22,Terrorist Organization,"The Revolutionary Armed Forces of Colombia (FARC, after the initials in Spanish) was founded in 1964 as the armed wing of the Communist Party in Colombia. While FARC had some urban presence, it was always an overwhelmingly rural guerrilla organisation. Originally, FARC was guided by its goal of overthrowing the current government in Colombia and replacing it with a leftist, anti-American regime that would force all United States interests out of Colombia and Latin America. FARC activities include bombings, hijackings, assassinations, and the kidnapping of Colombian officials and Westerners. In September 2016, FARC entered into a demobilization process with the Colombian government and signed a Peace Accord which formally brought an end to 52 years of armed conflict. Under the deal certain FARC commanders disarmed, demobilized, and participated in reintegration efforts and key leaders have become political actors within Colombia’s Congress. The Colombian Government has recognized that demobilized FARC members who adhere to the commitments under the 2016 Peace Accord would no longer be labelled as terrorists. In January 2021, the FARC political party changed its name to Comunes and accordingly, Comunes is not captured by this listing. While the vast majority of FARC combatants have demobilized and participate in the peace process, it is important to recognize that certain groups refused to disarm and claim to be the true continuation of FARC. For example, in August 2019, a FARC commander, Iván Márquez, called on his followers to re-take up arms, announcing a “new phase of the armed struggle” and asserting that the guerrilla group carries the same: FARC-EP (Revolutionary Armed Forces of Colombia - People's Army). On June 25, 2021, a helicopter approaching the city of Cucuta with Colombian President Ivan Duque and other officials aboard was hit by bullets. A still-mobilized FARC commander took responsibility for the attack.",Revolutionary Armed Forces of Colombia; Revolutionary Armed Forces of Colombia-People's Army (Fuerzas Armadas Revolucionarias de Colombia-Ejército del Pueblo; FARC-EP),2003-04-02,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Gulbuddin Hekmatyar,23,Terrorist Organization,"Gulbuddin Hekmatyar, leader of the group Hezb-e Islami Gulbuddin (HIG), promotes an extreme Islamist anti-Western ideology with the objective of overthrowing the Afghan administration and creating an Islamic state. Hekmatyar has declared his intention to wage jihad against foreign troops and interests in Afghanistan until all occupation forces would be driven out. He has perpetrated indiscriminate attacks against civilians, government officials and foreign officers. In 2006, Hekmatyar pledged allegiance to Al Qaida leader Usama bin Laden and vowed to join Al Qaida's holy war. On May 18, 2016, Afghanistan's government signed a draft peace agreement with HIG. In July 2016, Hekmatyar ordered his followers to fight against the Taliban in support of the Islamic State.",Gulabudin Hekmatyar; Gulbuddin Khekmatiyar; Gulbuddin Hekmatiar; Gulbuddin Hekmartyar; Gulbudin Hekmetyar; Golboddin Hikmetyar; Gulbuddin Hekmetyar,2005-05-24,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
"Gulbuddin Hekmatyar's Faction of the Hezb-e Islami, Hezb-e Islami Gulbuddin (HIG)",24,Terrorist Organization,"Gulbuddin Hekmatyar's faction of the Hezb-e Islami, Hezb-e Islami Gulbuddin (HIG), espoused a radical Islamist anti-Western ideology, with the goal of eliminating all Western influence in Afghanistan, and creating an Islamic state. Hekmatyar's men were reputed to be the most effective mujahideen group to fight against the Soviet occupation and the most extreme of all Afghan fighters. Drawing support from Pakistan, HIG now has a presence in much of Afghanistan and is an important component of resistance forces in the country. HIG is known to cooperate with Al Qaida and the Taliban, and has a history of engaging in terrorist activities including killings, torture, kidnappings and forcible detainment, and attacking political figures. HIG often targets civilians, journalists, and foreign aid workers. On May 18, 2016, after over two months of negotiations, Afghanistan's Republic-era government signed a draft peace agreement with the HIG.",,2006-10-23,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Hamas (Harakat Al-Muqawama Al-Islamiya) (Islamic Resistance Movement),25,Terrorist Organization,"Hamas, the Arabic acronym for the group Harakat Al-Muqawama Al-Islamiya, is a radical Islamist-nationalist terrorist organization that emerged from the Palestinian branch of the Muslim Brotherhood in 1987. It uses political and violent means to pursue its goal of establishing an Islamic Palestinian state in Israel. Since 1990, Hamas has been responsible for terrorist attacks against both civilian and military targets. Hamas has been one of the primary groups involved in suicide bombings aimed at Israelis since the start of the Al-Aqsa intifada in September 2000. In 2006, Hamas participated in and won Palestinian parliamentary elections, leading to negotiations between the group and the Palestinian Authority over the establishment of a unity government. In 2007, however, Hamas overthrew the Palestinian Authority in the Gaza Strip and seized power of the coastal territory. Although the group's political leadership resides in Damascus, Hamas uses the Gaza Strip as a base for terrorist operations aimed against Israel.",,2002-11-27,2021-06-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Haqqani Network,26,Terrorist Organization,"The Haqqani Network is an Afghan and Pakistani insurgent group described as one of the most powerful and violent organizations in the region. The Haqqani Network is an Islamist militant organization whose primary goal includes reestablishing the Islamic Emirate of Afghanistan and supporting the reemergence of the Afghan Taliban’s authority over the country. The Haqqani Network also believe Western forces must be removed from the country. Under its current leader, Sirajuddin Haqqani, the Haqqani Network is committed as well to supporting global jihad, including armed conflict to expand the Islamic world. The Haqqani Network has historically cooperated with Taliban factions and has been called the most lethal arm of the Taliban. The Haqqani Network functions as an autonomous branch of the Taliban that carries out operational attacks and serves as a conduit for other terrorist organizations’ activities. The group is also known to maintain close ties to Al Qaida. The Haqqani Network poses a significant local threat. The Haqqani Network has been responsible for many of the highest-profile attacks in Afghanistan. Haqqani Network operations account for about one-tenth of attacks on coalition troops, and about 15 percent of casualties. The Haqqani Network was the first group to adopt the use of suicide bombers for attacks in Afghanistan. The Haqqani Network uses large vehicle-borne improvised explosive devices, suicide vests, and swarming attacks, which captured headlines and created doubts about the ability of Afghan forces to protect its civilians without NATO support. The Haqqani Network specializes in coordinated attacks, favours a military-centric approach, via armed struggle, committing high-profile assassination attempts, suicide attacks, and waging a war of insurgency against the West.",,2013-05-09,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Harakat al-Sabireen (HaS),57,Terrorist Organization,"Harakat al-Sabireen (HaS) is an Iranian-backed Shia group which has operated in the Gaza Strip since 2014. Although founded in Gaza, it also operates in the West Bank. HaS espouses an ideology which rejects a two-state solution between Israel and Palestine and calls for the destruction of Israel. HaS adopts Iran’s sectarian approach of Islamic ideology in the area, and is reported to have strong, direct ties to Iran. HaS’ aims as of 2015 were to establish a powerful, Hizballah-style proxy for Iran in Gaza, which would serve as a strong reminder to Hamas that Iran has alternatives. HaS has fired rockets into Israel and targeted Israeli army patrols using explosive devices. Members of HaS have claimed they fight against Israel alongside Hamas and Palestinian Islamic Jihad. Iran’s Qods Force, assisted by the Palestinian Operations department of Hizballah, has financed and provided media exposure to HaS. Since 2019, HaS reportedly has not been operational, bowing to earlier pressure from Hamas in the area.",Al-Sabirin Movement for Supporting Palestine; Al-Sabireen Movement for Supporting Palestine; Al-Sabirin; Al-Sabireen; a-Sabrin organization; Al-Sabireen for the Victory of Palestine; HISN; HOSN; The Sabireen Movement; HESN; Movement of Those Who Endure With Patience; Movement of the Patient Ones,2019-06-21,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Harakat ul-Mudjahidin (HuM),27,Terrorist Organization,"Harakat ul-Mujahidin (HuM) is a Pakistan-based radical Kashmiri Islamist organization. It seeks Pakistani rule for the Indian territory of Kashmir and also calls for a war against America and India. To achieve these objectives, HuM employs various methods that include hijacking as well as kidnapping and executing foreigners and Indian government officials. The group has links with Al Qaida, and is also a signatory to the Al Qaida-issued 1998 fatwa (religious decree) against the U.S. and Israel. Between 2017 and December 2021, there were no reports of HuM terrorist attacks. There are no known reports of the HuM ceasing or renouncing terrorist activities.",Al-Faran; Al-Hadid; Al-Hadith; Harkat-ul-Mujahideen; Harakat ul-Mujahideen; Harakat al- Mujahideen; Harkat-ul-Ansar; Harakat ul-Ansar; Harakat al-Ansar; Harkat-ul-Jehad-e-Islami; Harkat Mujahideen; Harakat-ul-Mujahideen al-Almi; Holy Warriors Movement; Movement of the Mujahideen; Movement of the Helpers; Movement of Islamic Fighters; Al Qanoon; Jamiat ul-Ansar,2002-11-27,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
HASAM (Harakat Sawa'd Misr),28,Terrorist Organization,"HASAM portrays itself as a nationalist movement attempting to overthrow the government of Egypt. HASAM announced its existence on July 16, 2016, when it claimed responsibility for an attack in Tameeya, Egypt, which left two policemen dead and one injured. Since then, HASAM has primarily targeted the Egyptian security apparatus, which the organization describes as enablers of the regime. In addition to other attacks, HASAM claimed responsibility for the March 26, 2017, bombing in Qalyubia governorate which wounded 5 members of Egypt's security forces; the May 1, 2017, night time attack on an Egyptian police patrol which killed at least 3 policemen; and, the July 20, 2017, shooting attack on a police convoy in which 1 officer was killed and 3 more were wounded. Evidence of terrorist activities date from 2016 until 2019, and include bombings, attacks, killings, and use of improvised explosive devices.",Harakah Sawa’d Misr; Hassam; The Hasam Movement; Hasm; Hassm; the Hassm Movement; Harikat Souaid Misr; Harakah Sawa'id Misr; the Movement of Egypt's Arms; the Movement of Egypt's Forearms; the Arms of Egypt Movement,2019-02-11,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Hizballah,30,Terrorist Organization,"One of the most technically capable terrorist groups in the world, Hizballah is a radical Shia group ideologically inspired by the Iranian revolution. Its goals are the liberation of Jerusalem, the destruction of Israel, and, ultimately, the establishment of a revolutionary Shia Islamic state in Lebanon, modelled after Iran. Formed in 1982 in response to Israel's invasion of Lebanon, Hizballah carried out some of the most infamous terror attacks of the Lebanese civil war, such as the suicide bombings of the barracks of United States Marines and French paratroopers in Beirut, as well as the hijacking of TWA Flight 847. While all other Lebanese militias disarmed at the end of Lebanon's civil war in 1990, Hizballah continued to fight, waging a guerilla war against Israeli troops stationed in southern Lebanon. Following Israel's withdrawal from Lebanon in 2000, Hizballah attacks against Israeli forces continued, concentrated on the disputed Shebaa Farms area. In 2006, Hizballah provoked Israel's invasion of Lebanon by kidnapping two Israeli soldiers and killing 8 others. On January 3, 2018, Hizballah Secretary-General Hassan Nasrallah announced that the group was working ""to obtain all kinds of weapons that would enable it to achieve victory in the next war."" In September 2019, Hizballah fired anti-tank missiles into a small farming community along the Lebanese border with Israel.",Hizbullah; Hizbollah; Hezbollah; Hezballah; Hizbullah; The Party of God; Islamic Jihad (Islamic Holy War); Islamic Jihad Organization; Islamic Resistance; Islamic Jihad for the Liberation of Palestine; Ansar al-Allah (Followers of God/Partisans of God/God's Helpers); Ansarollah (Followers of God/Partisans of God/God's Helpers); Ansar Allah (Followers of God/Partisans of God/God's Helpers); Al-Muqawamah al-Islamiyyah (Islamic Resistance); Organization of the Oppressed; Organization of the Oppressed on Earth; Revolutionary Justice Organization; Organization of Right Against Wrong; Followers of the Prophet Muhammed.,2002-12-10,2021-06-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Hizbul Mujahideen,300,Terrorist Organization,"Hizbul Mujahideen (HM) was formed in 1989 as a militant Kashmiri liberation group, when an armed insurgency against Indian rule first broke out in the Kashmir valley. The group's primary goal is to unite the Indian and Pakistan-administered Kashmir into Pakistan. HM has launched attacks on Indian nationals, tourists, security forces, politicians, and military targets within the territories of Jammu and Kashmir. The group has also abducted and killed police officers and informants. HM's tactics include abductions, assassinations, and armed assaults with guns and explosives. In April 2025, 26 people were killed and 17 injured in India-administered Kashmir from gunfire by suspected militants belonging to ""Kashmir Resistance"", a front group for HM, alleged by Indian police.",HM; Hizb-ul-Mujahideen,2021-02-03,2025-12-04,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
Indian Mujahideen (IM),31,Terrorist Organization,"The IM is a Sunni Islamist militant group, consisting primarily of former members of the Students Islamic Movement of India (SIMI). The IM is best understood as a label for a relatively amorphous, decentralized network that operates through a number of modules across India. The IM's stated goal is to carry out terrorist actions against non-Muslims, for their oppression of Muslims. The group's primary method of attack is multiple coordinated bombings in crowded areas against economic and civilian targets to maximize terror and casualties. The group has also organized training in Pakistan with militant Islamist groups such as Lashkar-e-Tayyiba, a listed entity under the Criminal Code. The IM were found to have conducted a July 13, 2011 attack in which three explosive devices were detonated consecutively in separate locations in Mumbai, Maharashtra. At least 22 people were killed and 131 others wounded. As of 2018, media reports suggest that IM has been trying to revive itself following a series of arrests of its key operatives, internal disagreement between leaders, and defections. There are no reports of IM claiming responsibility for any terrorist incidents between January 2019 and November 2021. In 2022, IM had reportedly set a target of preparing more than 200 sleeper cell members in 2022 in some areas of Bihar-Bengal, Nepal.",Indian Mujahedeen; Indian Mujahidin; Islamic Security Force – IM (ISF–IM),2016-12-28,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
International Relief Fund for the Afflicted and Needy - Canada (IRFAN – CANADA),32,Terrorist Organization,"The International Relief Fund for the Afflicted and Needy-Canada (IRFAN-Canada) is a not for profit organization operating in Canada. Between 2005 and 2009, IRFAN-Canada transferred approximately $14.6 million worth of resources to various organizations with links to Hamas. IRFAN is an entity that has knowingly acted on behalf of, at the direction of, or in association with Hamas, and used its status as a charitable organization to fund Hamas, a listed terrorist entity.",International Relief Fund for the Afflicted; Needy; International Relief Fund for the Afflicted; Needy (Canada); IRFAN; IRFAN – Canada; IRFAN Society,2014-04-24,2024-06-07,http://www.publicsafety.gc.ca/cnt/ntnl-scrt/cntr-trrrsm/lstd-ntts/crrnt-lstd-ntts-en.aspx
